Unnamed: 0,id,url,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,buildingCondition,buildingConstructionYear,facedeCount,floodZoneType,heatingType,kitchenType,hasLivingRoom,toiletCount,hasTerrace,epcScore,price
9480,11368520.0,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/11368520,APARTMENT,APARTMENT,2.0,1.0,Liège,LIÈGE,4000,90.0,GOOD,2013.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,1.0,True,B,268000.0
9481,20543219.0,https://www.immoweb.be/en/classified/ground-floor/for-sale/gerpinnes/6280/20543219,APARTMENT,GROUND_FLOOR,2.0,1.0,Hainaut,GERPINNES,6280,108.0,AS_NEW,2018.0,2.0,NON_FLOOD_ZONE,GAS,USA_INSTALLED,True,1.0,True,A,280000.0
9482,20569083.0,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20569083,APARTMENT,APARTMENT,1.0,1.0,Antwerp,MECHELEN,2800,78.0,GOOD,2012.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,C,285000.0
9486,20571672.0,https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/20571672,APARTMENT,APARTMENT,2.0,1.0,Antwerp,BOOM,2850,130.0,JUST_RENOVATED,1945.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,A,299000.0
9487,20281076.0,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20281076,APARTMENT,APARTMENT,3.0,1.0,Liège,LIÈGE,4000,162.0,GOOD,1975.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,B,315000.0
9488,20545292.0,https://www.immoweb.be/en/classified/apartment/for-sale/bornem/2880/20545292,APARTMENT,APARTMENT,2.0,1.0,Antwerp,BORNEM,2880,89.0,GOOD,2015.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,1.0,True,B,330000.0
9492,20484538.0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20484538,APARTMENT,APARTMENT,3.0,2.0,Brussels,Uccle,1180,179.0,GOOD,1988.0,2.0,NON_FLOOD_ZONE,ELECTRIC,HYPER_EQUIPPED,True,2.0,True,G,470000.0
9493,20375249.0,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20375249,APARTMENT,APARTMENT,2.0,2.0,Brussels,Woluwe-Saint-Lambert,1200,95.0,GOOD,2007.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,2.0,True,C,510000.0
9494,20475068.0,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20475068,APARTMENT,PENTHOUSE,3.0,1.0,Brussels,Woluwe-Saint-Lambert,1200,141.0,TO_BE_DONE_UP,2006.0,2.0,NON_FLOOD_ZONE,GAS,USA_HYPER_EQUIPPED,True,2.0,True,D,610000.0
9495,20046743.0,https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20046743,APARTMENT,APARTMENT,2.0,2.0,West Flanders,Heist-aan-Zee,8301,91.0,GOOD,2017.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,A,645000.0
9496,20281160.0,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20281160,APARTMENT,APARTMENT,8.0,4.0,Liège,LIÈGE,4000,360.0,GOOD,2013.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,4.0,True,B,920000.0
9497,11040240.0,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11040240,APARTMENT,APARTMENT,2.0,2.0,West Flanders,Knokke,8300,70.0,JUST_RENOVATED,1985.0,2.0,NON_FLOOD_ZONE,ELECTRIC,HYPER_EQUIPPED,True,1.0,True,B,975000.0
9509,20616772.0,https://www.immoweb.be/en/classified/house/for-sale/attert/6717/20616772,HOUSE,HOUSE,5.0,1.0,Luxembourg,ATTERT,6717,234.0,AS_NEW,1996.0,4.0,NON_FLOOD_ZONE,FUELOIL,INSTALLED,True,2.0,True,B,749000.0
9510,20569946.0,https://www.immoweb.be/en/classified/villa/for-sale/ottignies-louvain-la-neuve/1340/20569946,HOUSE,VILLA,4.0,3.0,Walloon Brabant,Ottignies-Louvain-la-Neuve,1340,415.0,AS_NEW,2008.0,4.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,4.0,True,B,1140000.0
9512,20656995.0,https://www.immoweb.be/en/classified/house/for-sale/gilly/6060/20656995,HOUSE,HOUSE,4.0,1.0,Hainaut,Gilly,6060,314.0,TO_BE_DONE_UP,1900.0,2.0,NON_FLOOD_ZONE,GAS,NOT_INSTALLED,True,2.0,True,F,135000.0
9516,20658353.0,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20658353,HOUSE,HOUSE,2.0,1.0,Antwerp,Mechelen,2800,118.0,TO_BE_DONE_UP,1950.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,1.0,True,D,339000.0
9538,20637035.0,https://www.immoweb.be/en/classified/house/for-sale/herk-de-stad-schulen/3540/20637035,HOUSE,HOUSE,5.0,2.0,Limburg,Herk-de-Stad Schulen,3540,362.0,AS_NEW,1930.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,2.0,True,B,695000.0
9571,20565318.0,https://www.immoweb.be/en/classified/house/for-sale/silly/7830/20565318,HOUSE,HOUSE,5.0,2.0,Hainaut,Silly,7830,203.0,GOOD,1970.0,4.0,NON_FLOOD_ZONE,GAS,SEMI_EQUIPPED,True,2.0,True,D,285000.0
9586,20621133.0,https://www.immoweb.be/en/classified/house/for-sale/linkebeek/1630/20621133,HOUSE,HOUSE,5.0,3.0,Flemish Brabant,Linkebeek,1630,340.0,AS_NEW,1988.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,B,995000.0
9598,20597970.0,https://www.immoweb.be/en/classified/house/for-sale/moerbeke/9180/20597970,HOUSE,HOUSE,3.0,1.0,East Flanders,MOERBEKE,9180,180.0,GOOD,1970.0,4.0,NON_FLOOD_ZONE,FUELOIL,INSTALLED,True,2.0,True,F,398000.0
9601,20548714.0,https://www.immoweb.be/en/classified/house/for-sale/wemmel/1780/20548714,HOUSE,HOUSE,3.0,1.0,Flemish Brabant,Wemmel,1780,161.0,AS_NEW,1958.0,3.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,C,498500.0
